"Data Source Retrieval Date","Data Release Version Date","Data Release Description and Version Number","Study Reference Number","Study Name","Location or Station ID","Job Task or Place","Additional Exposure Info","Interpretive Sample ID","Analytical Sample ID","Laboratory Sample ID","Sample Date","Pump Configuration","Pre-Calibration Flow Rate","Post-Calibration Flow Rate","Flow Rate Unit","Pump Period","Sample Period","Period Unit","Pump ID","Dry Calibrator Serial No","Sample Type","Field Matrix","Field Sample Material","Chemical Name","Chemical Code","Chemical Type","Concentration","Unit","Qualifiers","Validation Level","Nondetect Flag","Analytical Method","Date Analyzed","Lab","Sample Comment","Method of Decontamination","Cleaning Product","Cleaning Product Other Description","Surface Area Covered","Respirator Half","Respirator Full","Respirator SCBA","Respirator Airline","Respirator Mask","Respirator None","Respirator Other Description","Cartridge p100","Cartridge ov","Cartridge Other","Cartridge Other Description","Hands Cotton","Hands Leather","Hands Abrasion","Hands Nitrile","Hands Nitrile Type","Hands PVC","Hands PVC Type","Hands Other","Hands Other Description","Hands None","Feet Steel","Feet Leather","Feet Rubber","Feet Covers","Feet None","Feet Other","Feet Other Description","Hearing Plugs","Hearing Plugs Type","Hearing Muffs","Hearing Muffs_type","Hearing None","Hearing Other","Hearing Other Description","Eyes Glasses","Eyes Goggles","Eyes Shield","Eyes None","Eyes Other","Eyes Other Description","Head Hat","Body Frc","Body Apron","Body Sleeves","Body Pants","Body None","Body Visible","Barrier Suit","Body Impervious Suit","Body Waders","Body Other","Body Other Type"
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","541125","541125","","2010-09-12","tp","2002","1811","mL/min","499","499","min","633525","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.24","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","Accell","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","Y","","N","","N","Y","N","Y","Y","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","546256","546256","","2010-09-09","tp","1996","1980","mL/min","376","562","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.13","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES-51 Oil release agent","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","Y","","N","","N","N","N","Y","N","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","546367","546367","","2010-09-09","cyclone","1634","1543","mL/min","229","","min","691634","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.27","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Not Specified","Not Specified","","Not Specified","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","N","N","N","","N","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","N","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Boom Decon","","547272","547272","","2010-09-09","cyclone","1608","1637","mL/min","298","559","min","917575","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.21","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","Y","","N","","N","Y","N","Y","N","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Detailed Vessel Decon","","546257","546257","","2010-09-10","tp","2015","1973","mL/min","510","555","min","917575","102484","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.098","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES 51 Oil Relenx Agent","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","N","","Y","","N","","N","N","N","Y","N","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Detailed Vessel Decon","","547271","547271","","2010-09-10","cyclone","1601","2111","mL/min","","","min","827899","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.1","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (100psi to 3000psi)","Other","PES 51 Oil Release Agent","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","N","","Y","","N","","N","N","N","Y","N","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","536700","536700","","2010-09-19","tp","2081","3235","mL/min","401","401","min","644672","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.36","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Pressure Washing (<100psi)","Other","Accell & water","<10%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","N","N","Y","N","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","N","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","541604","541604","","2010-09-15","cyclone","1598","1642","mL/min","90","60","min","868736","","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","1","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Pressure Washing (>3000psi)","Water Only","","10% to 24%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","N","","N","","N","Y","N","N","N","N","N","","Y","Foam","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","N","N","Y","Tyvek"
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","542066","542066","","2010-09-05","tp","1993","2043","mL/min","494","494","min","691634","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.48","MG/M3","","Level II","N","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","Water/Limonene","<10%","N","N","N","N","N","N","","N","N","N","","N","N","N","Y","","Y","","N","","N","Y","N","Y","Y","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
"2014-04-18 12:15","2014-04-20","Personal Breathing Zone Oil Mist OTH-03v01-01b","2001","Personal Breathing Zone Samples for Industrial Hygiene Program","","Equipment Decon","","543138","543138","","2010-09-11","tp","2038","1942","mL/min","484","484","min","868884","102483","Natural sample","Air/Vapor","Ambient Air","Gravimetric Oil Mist","OIL_MIST","Target Analyte","0.1","MG/M3","U","Level II","Y","NIOSH_5524","","GALSON","","Hand Scrubbing","Other","Accell","<10%","N","N","N","N","N","Y","","N","N","N","","N","N","N","Y","","Y","","N","","N","Y","N","Y","Y","N","N","","Y","","N","","N","N","","Y","N","Y","N","N","","Y","N","N","N","N","N","N","N","Y","N","N",""
